College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Babson College,MA,Private,"Medium (2,000 - 15,000)",Suburban,26%,100%,66%,www.babson.edu/admission/undergraduate-school/plan-your-visit/multicultural-overnight-experience/,www.babson.edu/admission/undergraduate-school/plan-your-visit/campus-photo-tour/,https://www.pqe.io/sign-up/voh/babson-college-private?event=BabsonCollegePrivate&account=BabsonCollege&refcode=COL_BABSON_PRIVATE_EMAIL,https://www.collegegreenlight.com/colleges/Babson-College,,,11/1/2020,,11/1/2020,1/2/2021,1/2/2021,"School Specific Application,Common Application","https://www.babson.edu/admission/undergraduate-school/apply/standardized-testing/#:~:text=SAT%20or%20ACT&text=Babson's%20optional%20test%20policy%20applies,for%20entry%20in%20Fall%202021.&text=Babson%20requires%20all%20applicants%20to,SAT%20or%20the%20ACT%20exam.",http://blogs.babson.edu/news/2017/04/06/statement-from-president-kerry-healey-in-support-of-the-deferred-action-for-childhood-arrivals-daca-program-and-undocumented-immigrant-students/
Baylor University,TX,Private,"Medium (2,000 - 15,000)",Urban,45%,68%,38%,,https://apply.baylor.edu/portal/virtual_visit_experience,https://www.baylor.edu/nursing/index.php?id=928857,https://www.collegegreenlight.com/colleges/Baylor-University,,,11/2/2020,,11/1/2020,2/1/2021,2/1/2021,"Common Application,School Specific Application",https://www.baylor.edu/mediacommunications/news.php?action=story&story=218777,https://www.baylor.edu/president/news.php?action=story&story=184916
Bentley University,MA,Private,"Medium (2,000 - 15,000)",Suburban,47%,89%,42%,,https://www.bentley.edu/undergraduate/virtual-tour,https://ugadmission.bentley.edu/portal/virtual_visit?_ga=2.234707162.597485983.1593027861-1124174942.1592419704,https://www.collegegreenlight.com/colleges/Bentley-University,,,,,11/15/2020,1/7/2021,1/7/2021,Common Application,https://www.bentley.edu/undergraduate/apply,
Boston College,MA,Private,"Medium (2,000 - 15,000)",Suburban,27%,100%,42%,https://www.bc.edu/bc-web/sites/bc-experience.html,https://admission.bc.edu/portal/campusvisitvirtual?utm_source=visit_eecvbutton&utm_medium=website,https://www.bc.edu/bc-web/admission/visit.html,https://www.collegegreenlight.com/colleges/Boston-College,https://www.questbridge.org/college-partners/boston-college,,,,12/15/2020,1/1/2021,1/1/2021,Common Application,https://www.bc.edu/content/bc-web/admission/apply/test-optional.html,https://www.bc.edu/content/dam/files/offices/reslife/documents/announcements/2017%20-%20International%20&%20Undocumented%20BC%20Student%20Support.pdf
Brandeis University,MA,Private,"Medium (2,000 - 15,000)",Suburban,30%,97%,54%,https://www.brandeis.edu/admissions/seed/,https://www.brandeis.edu/admissions/visit/toursandmaps.html,https://admissions.brandeis.edu/portal/virtual_campus,https://www.collegegreenlight.com/colleges/Brandeis-University,,,,,11/1/2021,1/1/2021,1/1/2021,Common Application,https://www.brandeis.edu/admissions/apply/testing.html,https://www.brandeis.edu/diversity/resources/daca-tps.html
Bryn Mawr College,PA,"Private,All Women's College","Small (<2,000)",Suburban,33%,100%,57%,https://www.brynmawr.edu/admissions/travel-scholars,http://www.brynmawr.edu/campusmap/,https://admissions.brynmawr.edu/portal/visit-campus,https://www.collegegreenlight.com/colleges/Bryn-Mawr-College,,,,,11/15/2020,1/1/2021,1/15/2021,Common Application,"https://www.brynmawr.edu/admissions/standardized-testing-policy#:~:text=Bryn%20Mawr%20accepts%20both%20SAT,the%20essay%20section%20is%20optional.",https://www.brynmawr.edu/pensby/daca-and-undocumented-students
Bucknell University,PA,Private,"Medium (2,000 - 15,000)",Rural,34%,92%,26%,"https://www.bucknell.edu/meet-bucknell/plan-visit/camps-conferences-visit-programs/journey-bucknell#:~:text=The%20program%20is%20designed%20to,who%20are%20chosen%20to%20attend.",https://www.virtually-anywhere.net/tours/bucknell/campus/vtour/index.html,"https://admissions.bucknell.edu/portal/campus-visit#:~:text=Until%20then%2C%20we%20are%20offering,p.m.%2C%20hosted%20by%20current%20students.",https://www.collegegreenlight.com/colleges/Bucknell-University,,,,,11/15/2020,1/15/2021,1/15/2021,"Common Application,Coalition Application","https://www.bucknell.edu/news/bucknell-begin-test-optional-admission-policy#:~:text=Standardized%20test%20scores%20(SAT%20or,for%20enrollment%20in%20fall%202020.&text=%22The%20principle%20point%20for%20going,Kevin%20Mathes%2C%20dean%20of%20admissions.",https://www.bucknell.edu/admissions-aid/tuition-fees-financial-aid/financial-aid-faqs
California Polytechnic State University - San Luis Obispo,CA,Public,"Large (15,000 - 25,000)",Suburban,28%,56%,46%,,https://www.calpoly.edu/explore-cal-poly,,https://www.collegegreenlight.com/colleges/california-polytechnic-state-university-san-luis-obispo,,,,,,,11/30/2020,Common Application,https://www.calpoly.edu/admissions/first-year-student/selection-criteria/testing-information-act-sat,https://dreamcenter.calpoly.edu/
Case Western Reserve University,OH,Private,"Medium (2,000 - 15,000)",Urban,27%,100%,55%,https://go.case.edu/register/diversityovernight,case.edu/admission/visits-events/virtual-tour,https://go.case.edu/portal/online-info,https://www.collegegreenlight.com/colleges/Case-Western-Reserve-University,https://www.questbridge.org/college-partners/case-western-reserve-university,,11/1/2020,,11/1/2020,1/15/2021,1/15/2021,"Common Application,Coalition Application",https://case.edu/admission/apply/requirements-recommendations,https://case.edu/immigrationupdates/resources-support/financial-aid-admissions
College of the Holy Cross,MA,Private,"Medium (2,000 - 15,000)",Suburban,34%,100%,30%,www.holycross.edu/visit/diversity-programming,www.holycross.edu/visit/virtual-tour,https://admissions.holycross.edu/portal/campusvisit,https://www.collegegreenlight.com/colleges/College-of-the-Holy-Cross,https://www.questbridge.org/college-partners/college-of-the-holy-cross,,,,11/15/2020,1/15/2021,1/15/2021,"Common Application,Coalition Application","https://www.holycross.edu/admissions-aid/what-we-look-for#:~:text=Standardized%20Testing%20Policy,not%20to%20submit%20your%20scores.",https://www.holycross.edu/campus-life/diversity-and-inclusion/additional-resources/undocumented-resources
